"logFC" "logCPM" "LR" "PValue" "FDR"
"ENSG00000196666.4" 1.1992725350371 4.90782657041998 335.269394651981 6.84121504744979e-75 1.06811418727899e-72
"ENSG00000223808.1" -1.55463585968538 5.41444319964579 335.009910753475 7.79195783605677e-75 1.20615511426345e-72
"ENSG00000166091.18" 1.31688342919871 4.70390817930133 334.73466116056 8.9452754472693e-75 1.37294816631775e-72
"ENSG00000204767.3" 1.04968405419301 5.21043914088061 332.163869709763 3.24711927299631e-74 4.94189723976775e-72
"ENSG00000172901.18" 0.996841784135256 5.31763157795363 325.940169562839 7.36275271270248e-73 1.11122345316462e-70
"ENSG00000153303.15" 1.12722922981909 5.01667507326324 324.129441021008 1.82573311661922e-72 2.73271508058602e-70
"ENSG00000135917.12" 0.85596915711891 5.70236469908753 323.94049178546 2.00721063877719e-72 2.97972064581097e-70
"ENSG00000187151.6" 1.29083686147061 4.70857007611358 320.688259242505 1.02561407518096e-71 1.51015418826035e-69
"ENSG00000174145.7" 1.23715627906837 4.79768168446472 320.360077734001 1.20911789886999e-71 1.765994698906e-69
"ENSG00000254951.6" 1.35320842964037 4.61136942099036 320.329759064212 1.22764469363389e-71 1.77870984371227e-69
"ENSG00000080166.14" 1.1477801695236 4.95902670611395 318.726191678191 2.74388543562787e-71 3.94400866068701e-69
"ENSG00000273079.3" 1.09320931909568 5.06817185316399 317.645437553527 4.71825872654372e-71 6.72853415719947e-69
"ENSG00000127241.15" 1.01294702284699 5.24457029662564 315.715064702967 1.24243111152769e-70 1.75794295788109e-68
"ENSG00000167588.11" 0.763783499033131 5.96862536171768 313.115605163975 4.5763774665269e-70 6.42502110823788e-68
"ENSG00000072657.7" 1.081889750778 5.07176812804916 311.052607851272 1.2880193601208e-69 1.79440912547291e-67
"ENSG00000278931.1" 1.3218938191806 4.62936413716356 309.320604399945 3.07062629927682e-69 4.24519945848875e-67
"ENSG00000276386.1" 1.16918133128018 4.88659508968686 308.434005245336 4.79036771467093e-69 6.57260224851555e-67
"ENSG00000099953.8" -0.837684020377161 6.46358165178671 307.722723723005 6.84415460807705e-69 9.30832217412794e-67
"ENSG00000065325.11" 1.15024861671865 4.92080503728404 307.710265689799 6.88705853532739e-69 9.30832217412794e-67
"ENSG00000183378.10" 1.14688263831824 4.92512456557914 306.975118716281 9.95829504760261e-69 1.33596060449727e-66
"ENSG00000174611.10" 1.08322463602017 5.05323768519586 306.169763376768 1.49153159046003e-68 1.98625945844277e-66
"ENSG00000145777.13" 1.02005497138003 5.19236122013192 305.154153728314 2.48248223857364e-68 3.2817690381611e-66
"ENSG00000111404.5" 0.946020910360441 5.37332071216869 303.916158268382 4.61945234815822e-68 6.06252909257199e-66
"ENSG00000254211.4" 1.13032773947957 4.94773388855905 303.708577603824 5.12641151481501e-68 6.67945603919529e-66
"ENSG00000147256.9" 1.11306570949281 4.9807655272545 303.102764187291 6.94696236030747e-68 8.98688823625204e-66
"ENSG00000119147.8" 0.865708709658797 5.5940442629015 302.354827533234 1.01097480934686e-67 1.29856487745255e-65
"ENSG00000101349.15" 1.07528520972355 5.05731473770027 302.143143174046 1.12423758657978e-67 1.43387795285537e-65
"ENSG00000018625.13" 0.833167284637787 5.69057671684102 301.377118844284 1.65099519516207e-67 2.09099118738324e-65
"ENSG00000165349.10" 1.08139726107435 5.04110148936983 301.214127868994 1.79165981189587e-67 2.25338547591987e-65
"ENSG00000226031.4" 1.23088549957954 4.75175419240256 300.539579611016 2.51313311838248e-67 3.13898992462242e-65
"ENSG00000260947.1" 1.08924847547982 5.01883075284243 299.513692089288 4.20457173218767e-67 5.21568483846924e-65
"ENSG00000230798.4" -1.41784066392262 5.43665045312662 299.429788150805 4.38532428552897e-67 5.40289851259967e-65
"ENSG00000172156.3" -1.42070535977489 5.43255271820558 299.20338103574 4.91279415775859e-67 6.01186587778147e-65
"ENSG00000133317.13" 0.878916537540033 5.53965664415382 298.28277270803 7.7965215253595e-67 9.47669807689838e-65
"ENSG00000166819.10" 0.72308522568927 6.05626598175038 297.434580458024 1.19315746090305e-66 1.44061831829434e-64
"ENSG00000246430.5" 1.04535072489532 5.10610396855628 296.904120904858 1.5569355698082e-66 1.8673947089269e-64
"ENSG00000138207.11" 0.788357754765498 5.81186878314327 294.868321198245 4.3233764425905e-66 5.15135991787872e-64
"ENSG00000181195.9" 1.02916174794933 5.12383646064413 291.305169419256 2.58329424851112e-65 3.05791125063953e-63
"ENSG00000254862.4" 1.23083568454306 4.72378086634421 291.051839114669 2.93340143204894e-65 3.44979437245704e-63
"ENSG00000170323.7" 0.694683209980216 6.1331265969923 289.423472745777 6.64013346360029e-65 7.75867465543644e-63
"ENSG00000266524.2" 0.908332310362886 5.4161233986649 287.729067650647 1.55374061594434e-64 1.80383309585692e-62
"ENSG00000132975.7" 1.0822208202522 4.99425308535947 287.597126245557 1.66007667745013e-64 1.91500947167511e-62
"ENSG00000164530.12" 0.793303261161432 5.76073488055424 286.290387144266 3.19790126895237e-64 3.66564492924028e-62
"ENSG00000130173.12" 1.13567459336428 4.87968437407451 285.678640669335 4.34675752919185e-64 4.95120286862853e-62
"ENSG00000144908.12" 0.837062046031873 5.61693603269969 285.58933854369 4.54594888382045e-64 5.14573001467951e-62
"ENSG00000205038.10" 0.984268301651563 5.20783553906907 284.934576128845 6.31392449298343e-64 7.10257680077161e-62
"ENSG00000227467.3" 1.04104126507617 5.07005727042174 283.594769373836 1.23666228211822e-63 1.38254262910142e-61
"ENSG00000182077.9" 1.21240718457564 4.73136680947588 283.173024806784 1.52810329071997e-63 1.69788212872573e-61
"ENSG00000172318.5" 1.02743294597495 5.09483503034329 281.893963297389 2.90317758467049e-63 3.20606397780288e-61
"ENSG00000123612.14" 0.823671495424105 5.64081416778938 281.078119374044 4.37176524283632e-63 4.79860850381871e-61
"ENSG00000071991.7" 1.10415619397903 4.92404761525441 280.207341835789 6.76725932308941e-63 7.38324298798026e-61
"ENSG00000185271.6" 1.24001656539852 4.67256156833476 279.138082806063 1.15724108313332e-62 1.2550175602771e-60
"ENSG00000060718.17" -0.829146542923843 6.36011272625664 278.789632127704 1.37834606948295e-62 1.48590628954796e-60
"ENSG00000259604.4" 1.14366864074776 4.84163909016822 278.727346871399 1.42210453261839e-62 1.52400799942318e-60
"ENSG00000134760.5" 0.949920246691543 5.26368339545032 276.763143788506 3.81046168794647e-62 4.05948656649403e-60
"ENSG00000180287.15" 1.09309558830596 4.92387276619891 273.561359330189 1.89996224421476e-61 2.01229334532009e-59
"ENSG00000163710.6" 0.781752496634491 5.74320634777664 272.741237253166 2.86734203738741e-61 3.0192111418095e-59
"ENSG00000196866.2" -1.34844599687767 5.4077149453768 270.868659239909 7.33820540521268e-61 7.6822102944397e-59
"ENSG00000065371.16" 0.994617938193893 5.13003021053759 270.569471521809 8.52699273216251e-61 8.8754232972526e-59
"ENSG00000139304.11" 1.00066229985847 5.11489859919245 270.340747986445 9.56411710446582e-61 9.89804142165603e-59
"ENSG00000124493.12" -1.1263478644306 5.7074262294275 268.141105736226 2.88437849005206e-60 2.96812379734846e-58
"ENSG00000204065.2" 1.02933761712279 5.03329541682572 266.054430968513 8.21962293171264e-60 8.41048536249986e-58
"ENSG00000255545.6" 1.10792174955198 4.86800765745169 266.021635093829 8.35603018424914e-60 8.5020259925245e-58
"ENSG00000189292.14" 1.01085786535221 5.07290317094439 265.43738882272 1.12031814342327e-59 1.1335241282424e-57
"ENSG00000123838.9" 0.992399693436619 5.11261159103797 264.547535159516 1.75103337236072e-59 1.76183141149028e-57
"ENSG00000163993.6" -0.925684814200955 6.06592234761115 264.224127198763 2.05961108689787e-59 2.0608627842435e-57
"ENSG00000197769.5" 0.939029327130268 5.2426402951816 264.07709552752 2.21734215184774e-59 2.20649910506123e-57
"ENSG00000228307.1" 1.18838312610634 4.70820295076646 262.83009296022 4.14606440730208e-59 4.10324439784962e-57
"ENSG00000225731.1" 1.13748854938824 4.79277573654323 260.703041142659 1.20578740320157e-58 1.18684867714041e-56
"ENSG00000165799.4" 1.0317629586656 5.00296001273328 259.334663768147 2.39631690740045e-58 2.34592948702321e-56
"ENSG00000228639.5" 0.952617490672563 5.18583297760222 258.455219981348 3.72601915907801e-58 3.62806091344418e-56
"ENSG00000112175.7" 0.92303419897477 5.25410301434278 256.561058090871 9.64144716131686e-58 9.33776735500586e-56
"ENSG00000133800.7" 0.749823019663033 5.78067730688288 256.227333364839 1.13996129670443e-57 1.098182927905e-55
"ENSG00000231638.1" 1.1261867812521 4.79630040566487 255.598327222966 1.56317171399014e-57 1.49791549799341e-55
"ENSG00000225670.4" 0.926244477082643 5.23231262861404 253.285815469203 4.99023027895791e-57 4.75674003064246e-55
"ENSG00000224957.4" 1.15566562385989 4.7326705848125 252.936422813961 5.9468593013901e-57 5.63893030405634e-55
"ENSG00000102683.7" 0.931703906713152 5.20890024268157 251.026745632438 1.55096383990091e-56 1.46299510960653e-54
"ENSG00000184937.11" -1.26395714908572 5.43087551936296 250.988617905651 1.58093396445316e-56 1.48353860260162e-54
"ENSG00000262097.1" 1.10609373143559 4.81714955207587 250.653099480661 1.87093557373695e-56 1.74662444205927e-54
"ENSG00000157150.4" 0.761476367308728 5.71309633137337 250.335806469319 2.1939717661869e-56 2.03769346961082e-54
"ENSG00000235904.1" 1.17134391075552 4.69575923810089 250.284373732736 2.25135395835218e-56 2.08031997651614e-54
"ENSG00000167676.3" 0.636856694089993 6.18063805084788 247.64642745857 8.46348534926289e-56 7.78082148022844e-54
"ENSG00000081041.8" 0.787383780373362 5.61272758009843 247.420031152438 9.48216726091056e-56 8.6733096597147e-54
"ENSG00000274209.3" 1.14199972318386 4.73603556730648 246.830541390709 1.27475744824191e-55 1.1601573942266e-53
"ENSG00000145681.9" -1.19586487868242 5.50604584662794 246.713599615486 1.35183357116628e-55 1.22415289036962e-53
