"logFC" "logCPM" "LR" "PValue" "FDR"
"ENSG00000160321.13" 1.32533957702275 5.00202130951206 130.729384860009 2.83770592129481e-30 3.56386216040823e-28
"ENSG00000253250.2" 1.2580698489287 5.11699811096436 130.396377024958 3.35602192221966e-30 4.18359206881738e-28
"ENSG00000260802.1" 1.19673575345605 5.23343864159774 130.359036938748 3.41974999213966e-30 4.23168916306753e-28
"ENSG00000230937.8" -1.62558600555474 5.75602825160589 129.87989000858 4.35338988074648e-30 5.3476787082542e-28
"ENSG00000092051.15" 1.00992419293065 5.65057010948665 129.62270719027 4.95562143542351e-30 6.04334443019871e-28
"ENSG00000050628.19" 1.01049901550977 5.64123440901532 128.689591464767 7.92988806850136e-30 9.60086951833161e-28
"ENSG00000275896.3" -1.66522810043442 5.70845136039334 128.651531423677 8.08341655461934e-30 9.71684408554921e-28
"ENSG00000189134.3" 1.51512328840759 4.70643736720372 127.904253794315 1.17790489231447e-29 1.40588378955746e-27
"ENSG00000183242.10" 1.02710023652738 5.57655181080186 126.010531072723 3.05855881026877e-29 3.62482297309952e-27
"ENSG00000173714.7" 1.27994938466454 5.04393653229306 125.648348743225 3.67095614255974e-29 4.32017628833132e-27
"ENSG00000134201.9" 1.00267871857976 5.63478433311805 125.578291723285 3.80286699385661e-29 4.44433671108423e-27
"ENSG00000164362.17" -1.82558267854783 5.54295886412102 125.075543362158 4.89935901744808e-29 5.68629744169888e-27
"ENSG00000124212.5" 0.892807712245046 5.93266053193047 124.538255890967 6.42288510702301e-29 7.40347489493769e-27
"ENSG00000244578.1" 1.29398199329702 5.00870038181222 124.11331367825 7.95675343999005e-29 9.10912949942806e-27
"ENSG00000223414.2" 1.39205360905346 4.84696712510527 123.307387208303 1.19435450026573e-28 1.35809404628189e-26
"ENSG00000174740.7" 1.20067088978412 5.16578698448076 122.457018748982 1.83344380464441e-28 2.07080709988998e-26
"ENSG00000237125.7" 0.975278854758822 5.67077034721137 121.514747883572 2.94801732038008e-28 3.30747889897843e-26
"ENSG00000274736.3" 1.36516312314401 4.87520365961432 121.492933511238 2.98061121075263e-28 3.32190106395736e-26
"ENSG00000118729.11" 1.09157665718513 5.37812757429442 120.596934195646 4.68221079260129e-28 5.15752413179712e-26
"ENSG00000127241.15" 0.92268109918205 5.80788114201641 120.594086444165 4.6889369075106e-28 5.15752413179712e-26
"ENSG00000137727.11" 1.07328552253438 5.41462153224892 119.997564093991 6.3338410684842e-28 6.9215721650338e-26
"ENSG00000104537.15" 1.20563170825036 5.13094697405871 119.205363526687 9.4429250314407e-28 1.02525797002655e-25
"ENSG00000272763.1" -1.74357449482914 5.55443835135603 118.98827086576 1.05350609273207e-27 1.13650346375564e-25
"ENSG00000183578.5" 0.936114448187807 5.74738011439488 118.208188582293 1.56111513074848e-27 1.67337621244371e-25
"ENSG00000105388.13" -1.62141450901345 5.65249595629006 117.970936873761 1.75947321503162e-27 1.87406169213716e-25
"ENSG00000177519.3" 1.02145442134244 5.51739015359114 117.625186137409 2.09453895584836e-27 2.21691799295422e-25
"ENSG00000168481.7" 1.3483008845389 4.87233376589974 117.378232565504 2.37226199398912e-27 2.49517481855268e-25
"ENSG00000130700.6" 1.12065999037934 5.28324901613848 116.891589376603 3.03195843501857e-27 3.16924400639301e-25
"ENSG00000172554.10" 1.36198626867617 4.84780167565681 116.8698260264 3.06541207524793e-27 3.1844333218733e-25
"ENSG00000120088.13" 1.31414056892307 4.92159689154543 116.720946857869 3.30437869550706e-27 3.41161896114652e-25
"ENSG00000183715.12" 1.27678196650556 4.98227952855525 116.53924051033 3.62142576779247e-27 3.71615696623046e-25
"ENSG00000118526.6" 1.17957071046064 5.15859792682209 116.373132507655 3.93780410145657e-27 4.01632152869167e-25
"ENSG00000146521.8" 1.37192799748525 4.82889301605398 116.304003582426 4.07748304495991e-27 4.13373266045966e-25
"ENSG00000102468.9" 1.41304570397398 4.76295520699373 115.358721445165 6.5675037820463e-27 6.61823479928487e-25
"ENSG00000075035.8" 1.09461547044698 5.32053521162848 114.65777424947 9.35212860816496e-27 9.36827216350048e-25
"ENSG00000164619.7" 1.13585674933046 5.22546343255362 113.837028580462 1.41470836224486e-26 1.40876491291236e-24
"ENSG00000162383.10" 1.15854502379793 5.1785343885315 113.745298686504 1.48169191882761e-26 1.46678784129117e-24
"ENSG00000260412.1" 1.3817399167368 4.79415087098907 113.422351906474 1.74378081956329e-26 1.71608282196172e-24
"ENSG00000112214.9" 1.12722489014493 5.23977995794591 113.410862657807 1.75391434652929e-26 1.71608282196172e-24
"ENSG00000123119.10" 1.02802439050327 5.46125440848461 113.20753111696 1.9433200801051e-26 1.89041234844443e-24
"ENSG00000184937.11" 0.850479788745494 5.94615060041361 112.476683289112 2.80949618654596e-26 2.71729950134379e-24
"ENSG00000116194.11" 0.946900769322828 5.65762292247878 111.947452082615 3.66907168797546e-26 3.52838899639651e-24
"ENSG00000250423.2" 1.08585959089952 5.31270994733818 111.577698894304 4.42133245777545e-26 4.22764795067631e-24
"ENSG00000134533.5" 0.863860036402775 5.88932120271113 111.019061965331 5.86044782820814e-26 5.57206081926073e-24
"ENSG00000261625.1" 1.09791763309178 5.28088901325643 110.969009294145 6.01029565394604e-26 5.68243064945269e-24
"ENSG00000248441.5" 1.10175426040599 5.27082639364566 110.76964366589 6.64616717940101e-26 6.24851103140445e-24
"ENSG00000230910.2" 1.43136723172446 4.70631933059776 110.758341308144 6.68416730550374e-26 6.24932508801791e-24
"ENSG00000177133.9" 1.29680251577944 4.90331012124751 110.541086387379 7.4583471899926e-26 6.93461463317047e-24
"ENSG00000259134.4" 1.23799444800678 5.00209805832535 110.450438389267 7.80731340818114e-26 7.21919106298244e-24
"ENSG00000129596.4" 1.01238553324527 5.47342994194891 110.419436452252 7.93037091529279e-26 7.29290776685587e-24
"ENSG00000173641.16" 0.88971142116523 5.80419609466314 110.347626790464 8.2229108922476e-26 7.52083518508885e-24
"ENSG00000281392.1" 1.32593829321277 4.8528427807124 109.982581888033 9.88555630199168e-26 8.99265010844422e-24
"ENSG00000101057.14" -0.963334987511721 6.49062351789615 109.650828462065 1.16865148374784e-25 1.05737826989206e-23
"ENSG00000100078.3" -1.50292240554566 5.68450236264398 109.241900405166 1.43641442683621e-25 1.29269617054688e-23
"ENSG00000278266.1" 1.30875993280882 4.8723043965873 108.998395542677 1.62417281942172e-25 1.45389384989618e-23
"ENSG00000077264.13" 1.05532242409329 5.35692570372514 108.873706049189 1.72962677737211e-25 1.54009994901562e-23
"ENSG00000205420.9" -1.30669300063631 5.90984670434074 108.759174969716 1.83251289532283e-25 1.62312418502042e-23
"ENSG00000259370.2" 1.234367518556 4.99100184414002 108.29144573493 2.32023795156748e-25 2.03888101347839e-23
"ENSG00000174482.9" 1.15102644950745 5.1469827157555 108.286415210506 2.32613437867877e-25 2.03888101347839e-23
"ENSG00000184905.7" 0.961610812900933 5.57426381087175 107.486401846738 3.48286920999608e-25 3.03695367538984e-23
"ENSG00000271930.1" 1.20739870084135 5.02725705642175 106.83739857559 4.8323465699187e-25 4.19193610438979e-23
"ENSG00000259658.3" 1.34907995874004 4.7920381243465 106.563226880715 5.54934431453672e-25 4.78922643432505e-23
"ENSG00000124102.4" -1.16889983430395 6.0821042856255 106.435061644958 5.92009983876924e-25 5.08313062176773e-23
"ENSG00000179915.19" 1.27046018057291 4.91269950776456 106.235770611059 6.54642479682025e-25 5.59237476678619e-23
"ENSG00000125675.16" 1.17808492683996 5.07573934039835 106.130406131778 6.90391415653693e-25 5.86797835052323e-23
"ENSG00000270093.1" 1.25350212369156 4.93912976162444 105.986747764676 7.42299604325099e-25 6.27746735738045e-23
"ENSG00000150627.14" 1.16011355294568 5.10854650683643 105.930544149697 7.63654283695105e-25 6.42576897015246e-23
"ENSG00000072133.9" 1.01489466117068 5.41842108775156 105.325106942403 1.03654446191181e-24 8.67861032314119e-23
"ENSG00000080166.14" 1.30006772041489 4.8543192754954 104.919796067531 1.27180957167506e-24 1.05956847929305e-22
"ENSG00000259363.4" 1.31382694263342 4.82437623370858 103.842838305133 2.19018062913293e-24 1.81569210875261e-22
"ENSG00000261496.1" 1.23013979253243 4.95496903229778 103.058686916834 3.25365748236965e-24 2.68410792994112e-22
