"logFC" "logCPM" "LR" "PValue" "FDR"
"ENSG00000159217.8" -1.93075796649802 5.73224036798562 218.465581925808 1.9547197939688e-49 1.24222442906717e-46
"ENSG00000062096.13" 1.50738381998352 4.91827931954633 217.028709985303 4.0226971489626e-49 2.46174166638182e-46
"ENSG00000123388.4" -1.9286811246927 5.72039565682312 215.922617542061 7.01135189243862e-49 4.13744883281298e-46
"ENSG00000128714.5" -1.9516545810012 5.70177527086641 215.652111144036 8.03176932982214e-49 4.5087818872845e-46
"ENSG00000234041.1" -2.39611260999761 5.42814066989179 215.614153150647 8.18637394047902e-49 4.5087818872845e-46
"ENSG00000184544.10" 1.81758318452018 4.53087550857031 215.312872411821 9.52389809356155e-49 5.07623768386831e-46
"ENSG00000168631.10" 1.71237772961788 4.63403084356708 212.456077289692 3.99975902951738e-48 2.06525057639737e-45
"ENSG00000198099.7" 1.78422811428315 4.55435636995893 212.134931580773 4.69997116108394e-48 2.35326131801788e-45
"ENSG00000171885.12" 1.53770674856145 4.85312671289936 211.796000923193 5.57233304366343e-48 2.70798996707208e-45
"ENSG00000113396.11" 1.33883254375615 5.16652464067757 211.110977289771 7.86113084979704e-48 3.7111275723199e-45
"ENSG00000170689.9" -2.2462995769449 5.48439060581985 210.792029188763 9.2271801496313e-48 4.23501937812105e-45
"ENSG00000261520.4" 1.68281409948264 4.65802174966378 209.682097070067 1.61147457646917e-47 7.19632281810815e-45
"ENSG00000238125.1" -2.18887145573326 5.5108680585371 209.426728024961 1.8320541095567e-47 7.96606054005403e-45
"ENSG00000272549.1" 1.63108161562856 4.71111593094015 207.203552900372 5.59745178836637e-47 2.37145374100455e-44
"ENSG00000281386.1" 1.66419842411908 4.6701773671395 207.061802674953 6.0106056355324e-47 2.48283092289755e-44
"ENSG00000154080.11" 1.27942305037449 5.25381585198673 206.329173560735 8.68498409697503e-47 3.50004859108094e-44
"ENSG00000273706.3" -2.22726014116566 5.46744655396709 205.484453659242 1.32763901956353e-46 5.22299512386863e-44
"ENSG00000178690.2" 1.30434331317056 5.20068674005815 205.057304687752 1.64543902087748e-46 6.32269510278106e-44
"ENSG00000166819.10" 1.31883961113323 5.14783126677177 199.633167018595 2.51121226137674e-45 9.43017277152905e-43
"ENSG00000089116.3" -1.99973138795388 5.56936401350635 197.713454178847 6.58902865367505e-45 2.41934489877051e-42
