"logFC" "logCPM" "LR" "PValue" "FDR"
"ENSG00000118733.15" 3.75242485864635 4.1339286101242 519.651753454502 5.03857336156659e-115 2.28524494813853e-112
"ENSG00000223414.2" 2.68534630751197 4.66740798504089 519.195995943667 6.33087701490952e-115 2.80133587328021e-112
"ENSG00000169347.15" 2.68621833183267 4.66663289851209 519.117229813567 6.58567878784849e-115 2.84469963259874e-112
"ENSG00000257191.1" 4.05433972419597 4.04012248255836 512.962914078405 1.43738471685762e-113 6.06442640307695e-111
"ENSG00000004939.12" 2.07849569920758 5.23281014104737 508.453132108619 1.3764797239359e-112 5.67547617082843e-110
"ENSG00000226741.1" 3.61616044074721 4.16603579731882 507.243482362197 2.52323169906051e-112 1.01725487743013e-109
"ENSG00000124157.6" 4.07882480551931 4.02792389047555 506.927534431535 2.95596387450749e-112 1.16580644807206e-109
"ENSG00000170549.3" 2.53490527854935 4.76294253656094 505.006734767903 7.73778393048645e-112 2.98678459716777e-109
"ENSG00000188175.8" 2.44474606529573 4.83050659779779 499.017286755291 1.55521085274304e-110 5.87804901884672e-108
"ENSG00000027644.4" 2.75215255925706 4.5791336498907 493.739931119152 2.18802335553494e-109 8.10104484002344e-107
"ENSG00000177133.9" 2.167520371953 5.08970867412038 488.992260220585 2.36094173290611e-108 8.56644098367652e-106
"ENSG00000165973.16" 2.30139601729248 4.93312276442418 481.270541256113 1.13051801023499e-106 4.02154073366338e-104
"ENSG00000180251.4" 2.23106698052303 5.00312016373188 480.190775191253 1.94192043647311e-106 6.77506164586446e-104
"ENSG00000250385.1" 3.6090540120258 4.13711381663432 479.758322112763 2.41174988250819e-106 8.25546535254029e-104
"ENSG00000253301.4" 2.60442207790136 4.66136392598994 478.190618597818 5.29008383218468e-106 1.77727223858323e-103
"ENSG00000187821.7" 3.74409221817536 4.07775869488614 465.870928704213 2.53684059279023e-103 8.3678840062546e-101
"ENSG00000139144.8" 2.39917839559121 4.80698217033799 463.819226494985 7.09200452301906e-103 2.29755617958235e-100
"ENSG00000146809.11" 2.85459350104167 4.46285419347138 462.421665388855 1.4285584989113e-102 4.54682601530682e-100
"ENSG00000260440.2" 3.50400901923549 4.15067615975798 460.097779513369 4.57733565673991e-102 1.43175902559613e-99
"ENSG00000263146.2" 3.03668096224694 4.33860298308996 448.586968778375 1.4643042939783e-99 4.50261161039902e-97
"ENSG00000144227.4" 3.2016899940866 4.25674089418679 447.417923717123 2.63057313983728e-99 7.95397631715466e-97
"ENSG00000151704.14" 1.83348517536149 5.41904042516422 445.245051012769 7.81512894092335e-99 2.32429621715134e-96
"ENSG00000205279.7" 2.30003319737234 4.86265399533104 444.834456271498 9.60052788125586e-99 2.80923833583458e-96
"ENSG00000271850.1" 3.4012212176969 4.16969300009552 444.683154093487 1.03567503185987e-98 2.98241530603203e-96
"ENSG00000168447.9" 1.9570390930822 5.21596859036077 430.791679757251 1.09289736115603e-95 3.098022488452e-93
"ENSG00000230027.1" 3.46891551022354 4.12669304037316 430.730869729792 1.12671641286832e-95 3.14475217880877e-93
"ENSG00000109205.15" 3.21373683073455 4.22150240660939 426.06586484274 1.16724299548976e-94 3.2085033976023e-92
"ENSG00000165621.7" 2.58430862705072 4.58286926291017 425.379988641413 1.64605984117013e-94 4.45713696097141e-92
"ENSG00000242048.3" 2.22493125645502 4.89549067894382 424.831060265918 2.16731978122607e-94 5.78228168691226e-92
"ENSG00000235366.2" 2.51217700755072 4.63685774070255 424.636256046324 2.38958962909184e-94 6.28288913782379e-92
"ENSG00000110680.11" 2.54384027054621 4.60933668145243 423.148445454718 5.03681380456166e-94 1.30539822917654e-91
"ENSG00000249599.1" 3.47882028068978 4.10909461878344 419.701836002423 2.83364369071901e-93 7.24055828690483e-91
"ENSG00000256463.7" 2.70265675826555 4.48694499022963 418.45564106591 5.29170600604819e-93 1.33336292169064e-90
"ENSG00000226733.1" 2.56251083324202 4.58014332429208 415.174568610086 2.74014014562161e-92 6.80981130436537e-90
"ENSG00000100884.8" 2.74447988339998 4.45160860398669 413.889614107594 5.21755455409003e-92 1.27914695567975e-89
"ENSG00000151834.14" 2.24534780689084 4.85130227565996 413.813989847611 5.41911152069121e-92 1.31084694944507e-89
"ENSG00000268416.1" 2.71038932814394 4.4690909928379 411.26396221581 1.94533938717165e-91 4.6437298897458e-89
"ENSG00000229051.1" 2.64018111089015 4.49758075310025 400.921120903797 3.4707136302818e-89 8.17736190656785e-87
"ENSG00000135346.7" 3.25751923078553 4.16301232019825 397.857389554065 1.61197055861522e-88 3.74927818902529e-86
"ENSG00000260878.1" 3.05915819032867 4.25025280371353 397.70016163131 1.74415115358169e-88 4.00536585168089e-86
"ENSG00000179399.12" 2.2593979330997 4.79953539462275 396.387170481279 3.36830214331997e-88 7.63846718551386e-86
"ENSG00000250436.1" 3.31794783757507 4.13086641703162 391.978943742437 3.06945713617017e-87 6.87482609437027e-85
"ENSG00000079557.4" 2.2133340907249 4.83259648997554 391.049325809938 4.89146037511342e-87 1.08220578201595e-84
"ENSG00000130829.16" 1.80962204876294 5.31377811063554 390.310608636693 7.08365584599952e-87 1.54833354648341e-84
"ENSG00000197308.7" 2.42633003118633 4.63536698077289 389.024300086859 1.34986080052374e-86 2.91537793370258e-84
"ENSG00000235782.1" 3.17191662600852 4.1839934619333 387.767729234703 2.53424641470338e-86 5.40897628888808e-84
"ENSG00000274173.1" 2.06635681255385 4.97983987111724 387.361451690969 3.10668600136911e-86 6.55366249265563e-84
"ENSG00000179270.6" 2.94218475460525 4.29201529465595 387.28255413188 3.23201788381129e-86 6.73968602851774e-84
"ENSG00000248115.1" 2.48422482901519 4.57649219032341 382.860920802835 2.96551342489515e-85 6.1136755175509e-83
"ENSG00000263429.3" 2.36786928385781 4.66859911956333 381.524364017625 5.79542074604671e-85 1.18135419297505e-82
"ENSG00000050628.19" 1.69563172905732 5.44711261854505 377.027429133653 5.52259553714407e-84 1.11323253594297e-81
"ENSG00000166426.7" 2.56542898444088 4.50287312698181 376.317806078493 7.88211689969823e-84 1.57139961312445e-81
"ENSG00000267420.1" 2.81539688815271 4.34251512769411 376.280446105148 8.03113511688469e-84 1.58370492707089e-81
"ENSG00000140519.11" 1.74801447779213 5.36428621850815 376.022006395441 9.14207570841177e-84 1.78339287636566e-81
"ENSG00000197408.7" 2.17196755192376 4.83168333771955 372.793939069353 4.61182762758016e-83 8.9008273212297e-81
"ENSG00000122194.17" 1.82047316232395 5.25080238827158 372.757204349517 4.69754765909732e-83 8.97083259277302e-81
"ENSG00000173612.8" 3.19336491272488 4.15104000596548 371.835854715844 7.45545696201028e-83 1.4089260437999e-80
